QueryId	SubjectId	%Identity	AlnLength	Mismatches	GapOpen	QStart	QEnd	SStart	SEnd	Evalue	Bitscore
A0A2E4TII7_9RHOB	A0A2E4TII7_9RHOB	100.00	95	0	0	1	95	1	95	4.669009e-49	202.22
A0A2E4TII7_9RHOB	A0A291LXZ8_9RHOB	100.00	95	0	0	1	95	1	95	4.669009e-49	202.22
A0A2E4TII7_9RHOB	A0A246QVF1_9RHOB	98.95	95	1	0	1	95	1	95	1.040147e-48	201.06
A0A2E4TII7_9RHOB	A0A2D4V057_9RHOB	90.53	95	9	0	1	95	1	95	4.999991e-43	182.19
A0A2E4TII7_9RHOB	A0A1U7D8D5_9RHOB	90.53	95	9	0	1	95	1	95	4.999991e-43	182.19
A0A2E4TII7_9RHOB	A0A2R8AB77_9RHOB	87.50	96	11	1	1	95	1	96	3.583235e-41	176.02
A0A2E4TII7_9RHOB	A0A1I0JJV8_9RHOB	84.21	95	15	0	1	95	1	95	9.758082e-39	167.93
A0A2E4TII7_9RHOB	A0A239PTL9_9RHOB	85.87	92	13	0	4	95	21	112	1.274445e-38	167.55
A0A2E4TII7_9RHOB	A0A2T4JR18_9RHOB	82.11	95	17	0	1	95	1	95	1.840295e-37	163.70
A0A2E4TII7_9RHOB	A0A2W7R7I6_9RHOB	82.11	95	17	0	1	95	1	95	1.840295e-37	163.70
A0A4Y8ZL21_9SPHN	A0A4Y8ZL21_9SPHN	100.00	145	0	0	1	145	1	145	1.127239e-78	301.21
A0A231WT22_KLEPN	A0A422YSJ7_KLEPN	100.00	110	0	0	1	110	1	110	3.496092e-56	226.10
A0A231WT22_KLEPN	W1H7Q1_KLEPN	100.00	110	0	0	1	110	1	110	3.496092e-56	226.10
A0A231WT22_KLEPN	A0A231WT22_KLEPN	100.00	110	0	0	1	110	1	110	3.496092e-56	226.10
A0A231WT22_KLEPN	A0A485UD24_KLEPN	99.09	110	1	0	1	110	1	110	1.735093e-55	223.79
