QueryId	SubjectId	%KMatchIdentity	QueryKLength	KMatch	GapOpen	QStart	QEnd	SStart	SEnd
A0A0N8SN40_PSESS	A0A0P9NGF1_PSESX	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A0P9RV78_PSEA0	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A3M3AMK8_PSESS	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A0M9HWC7_PSEA0	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A0N1JT26_PSEA0	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A0N8SL69_PSESX	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A0N8S715_PSESS	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A2K4WN18_PSESX	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A0P9NBG9_PSESX	100.00	101	101	N/A	1	107	1	N/A
A0A0N8SN40_PSESS	A0A0P9Q1F9_PSEA0	100.00	101	101	N/A	1	107	1	N/A
A0A0K5AHH7_ECOLX	A0A0K5AHH7_ECOLX	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	F4SI11_ECOLX	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	A0A332YS70_KLEPN	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	Q0QCA9_KLEPN	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	A0A222QU18_ECOLX	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	V2QP97_ECOLX	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	A0A070SIY7_ECOLX	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	S1IK01_ECOLX	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	INSO1_ECOLI	100.00	73	73	N/A	1	79	1	N/A
A0A0K5AHH7_ECOLX	S1DP48_ECOLX	100.00	73	73	N/A	1	79	1	N/A
A0A1C7CPP3_ECOLX	A0A1C7CPP3_ECOLX	100.00	77	77	N/A	1	83	1	N/A
A0A1G9RN73_9ACTO	A0A1G9RN73_9ACTO	100.00	107	107	N/A	1	113	1	N/A
A0A1G9RN73_9ACTO	A0A329XJK1_9ACTO	61.68	107	66	N/A	1	113	1	N/A
A0A1C7CPP3_ECOLX	A7ZL63_ECO24	94.81	77	73	N/A	1	83	1	N/A
A0A1G9RN73_9ACTO	A0A1M4RZL8_9ACTO	60.75	107	65	N/A	1	113	1	N/A
A0A1C7CPP3_ECOLX	A0A2H4TM22_ECOLX	94.81	77	73	N/A	1	83	1	N/A
A0A1C7CPP3_ECOLX	A0A4T7NI73_ECOLX	40.26	77	31	N/A	1	83	1	N/A
A0A1G9RN73_9ACTO	A0A2S0LQQ6_9ACTO	32.71	107	35	N/A	1	113	1	N/A
A0A1G9RN73_9ACTO	A0A2T0UZS2_9MICO	27.10	107	29	N/A	1	113	1	N/A
A0A1G9RN73_9ACTO	A0A2W4NHW5_9CHLR	12.15	107	13	N/A	1	113	1	N/A
A0A1G9RN73_9ACTO	A0A2H3L3S3_9CHLR	10.28	107	11	N/A	1	113	1	N/A
A0A1G9RN73_9ACTO	A0A3D1TZC1_9CHLR	9.35	107	10	N/A	1	113	1	N/A
A0A1B9UUC0_RHIRD	H0H8C3_RHIRD	100.00	111	111	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	A0A1S7SXZ8_RHIRD	100.00	111	111	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	A0A4Y6T3W6_9RHIZ	100.00	111	111	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	F0L1W4_AGRSH	100.00	111	111	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	A0A1B9UUC0_RHIRD	100.00	111	111	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	A0A1S7M3U8_9RHIZ	100.00	111	111	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	A0A285YAC5_9RHIZ	100.00	111	111	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	A0A1S7MNZ3_9RHIZ	100.00	111	111	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	A0A0D8KVM9_9RHIZ	87.39	111	97	N/A	1	117	1	N/A
A0A1B9UUC0_RHIRD	A0A0D8KAS7_9RHIZ	68.47	111	76	N/A	1	117	1	N/A
